name,abbr
Solomons exclusive of Rennel,Sol
Santa Cruz group,SCr
Vanua Lava,VL
Gaua,G
Santo,S
Malo,Mlo
Malekula,M
Efate,Ef
Erromanga,Er
Tanna,T
Aneityum,An
New Caledonia and Loyalties,Ncal
Maewo,Mw
Aoba,O
Pentecost,P
Ambrym,Am
Epi,E
